I tê	You're small
Ka hnar	I snore
Ka ding	I stood
Ka tawp	I stopped
Ka la e	I took it
Ka vai.	I waved.
Ka chak	I won
Ka ham.	I yawned.
Ka fai.	I'm clean.
Ka dik.	I'm fair.
Ka chak	I'm fast
Ka lawm	I'm glad
Ka lawm	I'm good
Ka lawm	I'm happy
Ka tlai	I'm late
Ka him.	I'm safe.
Ka cher	I'm thin
Ka hah.	I'm tired.
Ka zo e	I'm up
Ka tha.	I'm well.
A kang.	It burned.
Mi tina	It hurts
A mak e	It was crazy
A tha e	It was OK
A huh a	It was wet
A vawt.	It's cold.
A thim.	It's dark.
A diklo	It's evil
A tuilo	It's not tasty
Kan ta.	It's ours.
A tawp.	It's over.
Ni a sa	It's sunny
A thlum	It's sweet
A diklo	It's wrong
Ka la e	I took it
Dil ila	Let's ask for it
Lei ang	Let's buy it
Tho ang	Let's get up
Kal ila	Let's move
En rawh	Look at it
Kg khat	One Kg
Vawk ke	Pork trotter
rilru a	psychological disorder
La rawh	Take it
A tha e	That's OK
A ṭha e	That's OK
An pawm	They agree
An tlu.	They fell.
An ding	They stood
An in a	They were drinking
An chau	They're weak
An châu	They're weak
Toma sa	Tom is hot
Ha nget	Tooth decay
Kan nui	We laughed
Kan nui	We laughed
Kan lar	We're famous
Kan him	We're safe
Kan pil	We're sunk
I hausa	You are rich
I hmaih	You missed
I tlan.	You run.
I chak.	You won.
I dik e	You're right
I diklo	You're wrong
I zak em	Are you embarrassed
I sa em?	Are you hot?
I hah em	Are you tired
I tel em	Are you up
Thaw uih	bad breath
Che suh.	Be still.
Hal rawh	Burn it
Hlim ru!	Cheer up!
Ha phawi	Dental extraction
Ti rawh.	Do it.
A na em?	Does it hurt?
Hlau suh	Don't be frightened
Tlai suh	Don't be late
Tlâi suh	Don't be late
Tap suh.	Don't cry.
Thi suh.	Don't die.
Kal suh.	Don't go.
Melh suh	Don't peek
Nem suh.	Don't push.
Kap suh!	Don't shoot!
Zai suh.	Don't sing.
Ding suh	Don't stand
Melh suh	Don't stare
Tiam suh	Don't swear
Kal zel.	Go on.
Ka hria!	Got it!
Hria em?	Got it?
Hria em?	Got it?
Man rawh	Grab him
Sam tuak	Grey hair
A tlanbo	He dozed off
A hmu ta	He found it
A bansan	He gave up
Zu a nei	He has wine
DJ a nia	He is a DJ
Zu a rui	He is drunk
A ei mek	He is eating
A ei mêk	He is eating
A lut lo	He is not in
A damlo.	He is sick.
A vannei	He was lucky
A tlanbo	He went away
DJ a nia	He's a DJ
A buai a	He's busy
A na mek	He's in pain
A nâ mêk	He's in pain
A itawm.	He's sexy.
Ka dam e	I am fine
Ka tha e	I am okay
Ka dik e	I am right
Ka damlo	I am sick
Ka damlo	I am sick
Ka muhil	I am sleeping
Ka hah e	I am tired
Ka hah e	I am tired
Ka ei zo	I ate out
Ka tikeh	I broke it
Ka man e	I caught it
Ka man e	I caught it
Ka thlak	I changed
Ka beng.	I clapped.
Ka khuh.	I coughed.
Ka be lo	I didn't call
Ka en lo	I didn't look
Ka ei lo	I don't eat
Zu ka in	I drink wine
Ka khalh	I drive
Ka riang	I felt alone
Ka sun e	I gloated
Ka sun e	I gloated
Mi fuh e	I got hit
Ka thui.	I knit.
Ka nui e	I laughed
Ka duh e	I like it
Ka duh e	I liked it
Ka duh e	I liked it
Ka bang.	I quit.
Ka duhlo	I refuse
Ka ti a.	I said leave it alone.
Ka tawlh	I slipped
Ka hnar.	I snore.
Ka bia a	I spoke with them
Ka ding.	I stood.
Ka tawp.	I stopped.
Ka thlan	I sweated
Ka hleuh	I swim
Ka hmang	I use it
Ka duh e	I want it
Ka tha e	I was fine
Ka ṭha e	I was fine
Ka tha e	I was good
Ka zo lo	I wasn't finished
Ka chak.	I won.
Ka thawk	I work
DJ ka ni	I'm a DJ
Nu ka ni	I'm a mother
Ka harh.	I'm awake.
Ka buai.	I'm busy.
Ka lar e	I'm famished
Ka thau.	I'm fat.
Ka puar.	I'm full.
Ka zak a	I'm just shy
Ka tlai.	I'm late.
Ka mawl.	I'm numb.
Ka tha e	I'm OK
Ka tha e	I'm okay
Ka tawi.	I'm short.
Ka damlo	I'm sick
Ka nalh.	I'm smart.
Ka tang.	I'm stuck.
Ka sang.	I'm tall.
Ka cher.	I'm thin.
Ka chau.	I'm weak.
Ka fing.	I'm wise.
A sa em?	Is it hot?
Mi tina.	It hurts.
Hla a ni	It is a song
A tha lo	It was bad
A thei e	It worked
TV a nia	It's a TV
A zalen.	It's free.
A nalh e	It's nice
A ṭha lo	It's no good
A tha e.	It's okay.
A in ang	It's similar
Dan a ni	It's the law
Dân a ni	It's the law
A thei e	It's working
Ka dah e	I've kept it
Ka nui e	I laughed
Dah rawh	Keep it
Dahbo la	Keep out
Ka lo en	Let me see
Ka lo en	Let me see
Kal ang.	Let's go.
Kei pawh	Me, too
Rilru na	Mental disease
Vawk ril	Pork intestine
Nem rawh	Push it
A awm lo	She doesn't exist
Thu rawh	Sit down!
Rap teh!	Step on it!
La rawh.	Take it.
Kill it.	That rawh.
An zui a	They followed him
Min hria	They know me
An zai a	They were dancing
An chak.	They won.
An fel e	They're nice
An hausa	They're rich
Hun a zo	Time is up
Tom-a sa	Tom is hot
Tom ran.	Tom-a a tlan.
Keu rawh	Turn it over
Kan hria	We know
Kan tibo	We lost
Kan inpe	We surrender
Kan inpe	We surrender
Kan buai	We were busy
Kan nâ e	We were hurt
Kan chak	We won
Titha e.	Well done.
Kan hlau	We're afraid
Kan buai	We're busy
Kan hlau	We're freaks
Kan biru	We're hiding
Kan tlai	We're late
Kan tlai	We're late
Kan chak	We're strong
Fun rawh	Wrap them up
I bia em	You called
I hria e	You got it
I tenawm	You're awful
I tha lo	You're bad
I ṭha lo	You're bad
Ban i ni	You're fired
Bân i ni	You're fired
I zakzum	You're shy
I dik lo	You're wrong
I chak e	You've won
An hlu em	Are they worth it
I hlim em	Are you being funny
I ning em	Are you bored
I buai em	Are you confused
I tha em?	Are you OK?
I him em?	Are you safe?
In awm em	Are you there
I hah em?	Are you tired?
I tel em?	Are you up?
I ṭha em?	Are you well?
dam takin	au revoir
Huai rawh	Be brave
Lawm rawh	Be cheerful
Lâwm rawh	Be cheerful
Dik takin	Be fair
Tha takin	Be nice
Hneh rawh	Beat it
Rilru zau	Broad minded
Phum rawh	Bury it
A bu liam	Buzz off
Tihlim ru	Cheer up
thian fai	clean sweep
I bia em?	Did you call?
I lam em?	Do you dance?
I duh em?	Do you like? Do you want?
I hmu em?	Do you see it?
Hnial suh	Don't argue
Zawt suh.	Don't ask.
Â duh suh	Don't be mad
Uang suh.	Don't brag.
Muhil suh	Don't fall asleep
Innei suh	Don't get married
Tawp suh.	Don't quit.
Tlan suh.	Don't run.
Meizu suh	Don't smoke
Tawng suh	Don't speak
Ṭawng suh	Don't speak
Ding suh.	Don't stop.
Ei zovang	Eat up
tawlh lut	Embed Imbed
Mit natna	Eye disease
Mi â mi â	Foolish foolish me
Sa kan ro	Fried meat
Thu rawh!	Get down!
Man rawh.	Grab him.
Va en teh	Have a look
Min fak a	He complimented me
A pawm lo	He denied it
Car a nei	He has a car
A nunnem.	He is kind.
A zakzum.	He is mean.
A rethei.	He is poor.
A naupang	He is young
Khapa kha	He was stoned
Tisa rawh	Heat it up
A tap mek	He's crying
A ṭap mêk	He's crying
A felfai.	He's smart.
A a lutuk	He's stupid
A â lûtuk	He's stupid
Hei Danny	Hi Danny
I dam em?	How do you do?
Ka pawm e	I admit it
Ka pawm e	I agree
Ka pawm e	I agreed
Ka zak e.	I am ashamed.
Ka lo kal	I am coming
Ka lo kal	I am coming
Ka ei mek	I am eating
Ka ei mêk	I am eating
Ka na mek	I am in pain
Ka tha e.	I am okay.
Ka chaklo	I am weak
Ka pawm e	I approve
Ka hawh a	I borrowed it
Ka hawh a	I borrowed it
Ka tham a	I bribed them
Ka tikeh.	I broke it.
Ka titawp	I canceled
Ka thlak.	I changed.
Ka tisawm	I crashed
Ka titha.	I did well.
Ka tla lo	I didn't fall
Ka kal lo	I didn't go
Ka hre lo	I didn't know
Ka zai lo	I didn't sing
Ka kal lo	I didn't walk
Ka duh ve	I do want it
Ka seh lo	I don't bite
Ka tap lo	I don't cry
Ka ṭap lo	I don't cry
Ka hre lo	I don't know
Ka daw lo	I don't lie
Ka dâw lo	I don't lie
Ka zai lo	I don't sing
Ka in tam	I drink a lot
Ka khalh.	I drive.
Sa ka nei	I eat meat
Lum ka ti	I feel warm
Ka thlawk	I frowned
Ka hria e	I get it
A ka hmu.	I got an A.
Ka kalbo.	I got away.
Ban ka ni	I got fired
Ka hria e	I got it
Ka bo vek	I got lost
Ka a tawh	I got mad
Bum ka ni	I got mugged
Ka tuihal	I got thirsty
Ka tuihâl	I got thirsty
Ka rum ri	I groaned
Ka rum ri	I groaned
Ka huk ri	I grunted
Ka huk ri	I grunted
Ka hlim e	I had fun
Ka hlim e	I had fun
TV ka hua	I hate TV
In ka nei	I have a home
Ka keng e	I have it
Zu ka nei	I have wine
Ka hria e	I heard it
Ka hria e	I heard that
Ka ngamlo	I hesitated
Ka ngamlo	I hesitated
Ka hria e	I knew it
Zu ka duh	I like wine
Ka en kan	I looked away
Ka en kân	I looked away
Ka hmusit	I looked down
Ka tibo e	I lost it
Ka ngaina	I loved it
Ka ngaina	I loved it
Ka thuawi	I obeyed
Ka pelawk	I prepaid
Ka pelawk	I prepaid
Ka tiam e	I promise
Ka tiam e	I promised
Ka tlanbo	I ran away
Ka tlanbo	I ran away
Ka duhlo.	I refuse.
Ka au vak	I screamed
Ka au vak	I screamed
Ka mu ṭha	I slept fine
Ka tawlh.	I slipped.
Ka hman e	I stayed put
Ka la zai	I still sing
Ka thlan.	I sweated.
Ka hleuh.	I swim.
Ka tiam e	I swore
Ka hmang.	I use it.
Ka awm lo	I was absent
Hal ka ni	I was burned
Bum ka ni	I was canned
Ka lawm a	I was celebrating
Ka puar e	I was full
Ka tlai a	I was late
Ka tlai a	I was late
Ka hlau a	I was scared
Ka zak a.	I was shy.
Ka thu a.	I was sitting there.
TV ka en.	I watched TV.
TV ka en.	I watched TV.
Ka mitmei	I winked
Ka thawk.	I work.
DJ ka ni.	I'm a DJ.
Pa ka nia	I'm a father
Pa ka nia	I'm a father
Ka dam ta	I'm alive
Ka zo der	I'm all done
Mak ka ti	I'm amazed
Ka â a ni	I'm being foolish
Ka rinawm	I'm faithful
Ka lawm e	I'm grateful
Ka sual a	I'm guilty
Mi fuh e!	I'm hit!
Ka damlo.	I'm ill.
Ka felfai	I'm neat
Ka thi lo	I'm not dead
Ka zui lo	I'm not following
Ka him lo	I'm not safe
Ka dam lo	I'm not well
Ka thuawi	I'm obedient
Ka hausa.	I'm rich.
Ka khur a	I'm shaken
Ka hriam.	I'm sharp.
Ka cher a	I'm skinny
Ka muang.	I'm slow.
Ka lawm e	I'm so happy
Ka lâwm e	I'm so happy
Ka la awm	I'm still up
Ka chak a	I'm strong
Ka rui a.	I'm tipsy.
Ka khauh.	I'm tough.
Ka diklo.	I'm wrong.
A keh em?	Is it broken?
A hla em?	Is it far?
A tha em?	Is it good?
A tha em?	Is it nice?
A sen em?	Is it red?
A him em?	Is it safe?
A him em?	Is it secure?
A dik em?	Is it true?
A tha em?	Is that OK?
A ṭha em?	Is that okay?
Hla a ni.	It is a song.
A bo tawh	It is gone
Zân a nia	It was night
Thei a ni	It's a fruit
A la nung	It's alive
A huh vek	It's all wet
A ropui e	It's amazing
A mawi lo	It's awkward
A fai hle	It's clean
Khar a ni	It's close
A awlsam.	It's easy.
A bo tawh	It's lost
A chhe lo	It's not bad
A te si a	It's small
Vur a sur	It's snowing
Tui a nia	It's water
A thawk e	It's work
I ta a ni	It's yours
Ka hloh e	I've lost it
Uluk rawh	Just be cool
Dah rawh.	Keep it.
Ding rawh	Keep still
Kal thalo	kidney disorder
That rawh	Kill it
Innei ang	Let's get married
Chawl ang	Let's rest
Va en ang	Let's see
Lo en ang	Let's see it
Kalh rawh	Lock it
Harh rawh	Look alive
Hnar hmul	Nose hair
Pawt rawh	Pull it
Nem rawh.	Push it.
Bun rawh.	Put it on.
A lo kal.	She came.
A tlan lo	She isn't running
A pen mek	She walks
A pen mêk	She walks
A â lo va	She wasn't stupid
Thu rawh.	Sit down!
Thei thur	Sour fruit
Tawp rawh	Stop it
Ziak rawh	Take notes
An pawm e	They approve
An ring a	They believed them
An chei a	They decorated it
An duh lo	They don't want it
An chaklo	They lost it
An pawmlo	They refused
An hahdam	They relaxed
Aih an ti	They said no
Min kap a	They shot me
An hleuh.	They swam.
An lo lut	They went in
An lo lût	They went in
An la ang	They will take it
An awm lo	They're not there
Tom a nui	Tom chuckled
Tom a tel	Tom enlisted
Tom a tîm	Tom flinched
Tom a ṭhu	Tom sat down
Tom a lar	Tom's famous
Tho rawh!	Wake up!
Tho rawh!	Wake up!
Min en ru	Watch us
Min en ru	Watch us
Ka beisei	We hope so
Kan hria.	We know.
Kan duh e	We like it
Kan duh e	We like it
Kan tibo.	We lost.
Kan hmu e	We saw it
Kan ṭha e	We were good
Kan chak.	We won.
Kan tlang	We're direct
Kan lut a	We're going inside
Kan duham	We're greedy
Kan duhâm	We're greedy
Kan zo lo	We're not finished
Kan en lo	We're not looking
Kan hausa	We're rich
Kan damlo	We're sick
Kan khauh	We're strict
An tha em	Were they any good
Eng atan?	What for?
Tunge ei?	Who ate?
Tunge ni?	Who is it?
Tunge ru?	Who stole it?
Aw, ṭha e	Yes, fine
Aw, ni e.	Yes, she is.
Aw, ka pu	Yes, sir
I bia em?	You called?
I thei lo	You can't
I ti zo e	You did it
I nei lo.	You don't have it.
Mi hria e	You got me
I at hmel	You look mad
I chaklo.	You lost.
I ât hmel	You seem mad
I ât hmêl	You seem mad
I muhil a	You were sleeping
I ei dawn	You will eat
Vawk i ni	You're a pig
I thi mek	You're dying
I thi mêk	You're dying
I ropui e	You're great
I danglam	You're odd
I ṭha ber	You're the best
I chak ta	You've won
hrawk bawk	Adam’s apple
Hrawk bawk	Adam's apple
Ka dik em?	Am I right?
Catch him.	Amah hi man rawh.
An thi em?	Are they dead?
Kan bo em?	Are we lost?
I remti em	Are you agreeable
I ning em?	Are you bored?
In hlim em	Are you enjoying yourselves
I lawm em?	Are you happy?
I lâwm em?	Are you happy?
I thar em?	Are you new?
I tawi em?	Are you short?
I sang em?	Are you tall?
In awm em?	Are you there?
TV i en em	Are you watching TV
Huai rawh.	Be brave.
Fim takin.	Be calm.
Dik takin.	Be fair.
Tha takin.	Be nice.
Ngawi rawh	Be quiet
Thu vek ru	Be seated
Pick it up	Chhar rawh
Tifai rawh	Clean it up
Tidai rawh	Cool it down
Ka chak em	Did I win
I sign em?	Did you sign?
Pu ti suh.	Do not call him master.
An hria em	Do they know
I pawm em?	Do you agree?
Zu i in em	Do you drink
Zakzum suh	Don't be coy
Zakzum suh	Don't be shy
Mak ti suh	Don't be surprised
Tibuai suh	Don't bother them
Lo kal suh	Don't come
Lo lut suh	Don't come in
Thlauh suh	Don't drop it
Kal bo suh	Don't go away
Mi haw suh	Don't hate me
Zuang suh.	Don't jump!
Kaltir suh	Don't let go
Chiai suh!	Don't panic!
Va nêk suh	Don't push it
Chhang suh	Don't respond
Chhâng suh	Don't respond
Tawlh suh.	Don't slip.
Hleuh suh.	Don't swim.
Tawng suh.	Don't talk!
Mi cho suh	Don't try me
Nghak suh.	Don't wait.
Paih rawh!	Drop it!
Endik rawh	Examine it
Thlep rawh	Fold it
Min zui ru	Follow us
Vanram tan	For heaven's sake
Eng hunah?	For when?
Min fak a.	He complimented me.
A pha nasa	He denied it
A thlauh a	He dropped it
A thlauh a	He dropped it
A dah daih	He hung up
A lawm hle	He is happy
A lâwm hle	He is happy
A tar tawh	He is old
A hah tawh	He is tired
A nui nasa	He laughed
A thleng e	He made it
A thleng e	He made it
A tlan mek	He runs
Car a zuar	He sells cars
Tisa rawh.	Heat it up.
Min pui ru	Help us
Min pui ru	Help us
Seize him!	Hepa hi laksak ru!
Ka pa a ni	He's my dad
Ding rawh.	Hold still.
Ka tla ṭep	I almost fell
Ka ei tawh	I already ate
Ka inhliam	I am injured
Ka inhliam	I am injured
Ka pawm e.	I approve.
Ka tham a.	I bribed them.
Ka tikeh a	I broke that
Ka tikeh a	I broke that
Ka hal vek	I burned them
Ka irhfiak	I burped
Ka ko che.	I called you.
Ka ti thei	I can do it
Ka ti tawp	I canceled it
Ka ti tâwp	I canceled it
Ka titawp.	I canceled.
Ka tisawm.	I crashed.
Ka ṭap hma	I cry easily
Ka ti tawh	I did it
Ka lei lo.	I didn't buy them.
Ka tlu lo.	I didn't fall down.
Ka hreh lo	I didn't hesitate
Ka hloh lo	I didn't lose them
Ka tlan lo	I didn't run
Ka tawp lo	I didn't stop
Ka tâwp lo	I didn't stop
Ka vawt lo	I didn't vote
Ka vâwt lo	I didn't vote
Ka pawm lo	I disagree
Ka pawm lo	I disagreed
Ka duh ve.	I do want it.
Ka in nasa	I drank a lot
Kua ka lai	I dug a hole
Nuam ka ti	I enjoy that
Ka tlinglo	I failed
Ka thidang	I fainted
Nuam ka ti	I feel good
Ka hrethei	I fell
Vawt ka ti	I felt cold
Ka bei let	I fought back
Ka bei lêt	I fought back
Hna ka hmu	I found a job
Ka thlawk.	I frowned.
Ka tawpsan	I gave up
Ka melh a.	I glanced at him.
Hna ka hmu	I got a job
Ka thinrim	I got angry
Hneh ka ni	I got beat
Ka hliam e	I got cut
Paih ka ni	I got dumped
Ka sa phat	I got hot
Rawk ka ni	I got robbed
Ka huh vek	I got soaked
Hna ka nei	I got the job
Ka awih lo	I guess not
Hna ka nei	I had a job
Car ka nei	I have a car
Hna ka nei	I have a job
PhD ka nei	I have a PhD
OCD ka nei	I have OCD
Hun ka nei	I have time
Ka en tawh	I looked
Ka en tawh	I looked
Ka tibo e.	I lost it.
Vur ka duh	I love snow
Ka au ruai	I moaned
Ka au ruai	I moaned
Ka chesawn	I moved
Ka tidik e	I nailed it
Ka tidik e	I nailed it
Ka lo hria	I noticed
Ka thuawi.	I obeyed.
Ka dodal a	I oppose it
Ka pe tawh	I paid
Ka tiam e.	I promise.
Tom ka zah	I respect Tom
Ka duh lo.	I said no.
Ka hmu kha	I saw it
Tom ka hmu	I saw Tom
Tom ka kap	I shot Tom
Ka mu tlai	I slept late
Ka timuang	I slowed down
Ka hnawl a	I turned her down
Car ka duh	I want a car
Hna ka duh	I want a job
Ka kal duh	I want to go
Vuak ka ni	I was beaten
Min zawt a	I was interrogated
Ka bo tawh	I was lost
Ka khup a.	I was on my knees.
Mim suam a	I was robbed
Ka thik lo	I wasn't jealous
Ka hrem lo	I wasn't penalized
Ka chhuk a	I went downstairs
Ka mitmei.	I winked.
Ka lei ang	I'd buy it
Ka ti ang.	I'd do it.
Ka ti ang.	I'd do it.
Ka ṭha ang	I'll be good
Ka tha ang	I'll be OK
Ka him ang	I'll be safe
Ka bia ang	I'll call
Ka hmu ang	I'll find it
Ka pe ang.	I'll pay.
Ka kap ang	I'll shoot
Ka zai ang	I'll sing
Ka la dawn	I'll take it
Ka tha lo.	I'm bad.
Ka thuber.	I'm bossy.
Ka lei mek	I'm buying
Ka a lutuk	I'm crazy
Ka insum a	I'm dieting
Ka bei mek	I'm fighting
Ka bei mêk	I'm fighting
Ka bal hle	I'm filthy
Ka sun mek	I'm grieving
Ka sûn mêk	I'm grieving
Ka sa phat	I'm hot
Ka riltam!	I'm hungry!
Ka fiamthu	I'm joking
Ka rinawm.	I'm loyal.
Ka vannei.	I'm lucky.
Ka timek e	I'm managing
Ka timêk e	I'm managing
Ka zakzum.	I'm mean.
Ka saruak.	I'm naked.
Ka buai lo	I'm not busy
Ka hman lo	I'm not free
Ka tho lo.	I'm not getting up.
Ka sang lo	I'm not tall
Ka cher lo	I'm not thin
Ka cher lo	I'm not ṭhin
Ka duhtui.	I'm picky.
Ka rethei.	I'm poor.
Ka rai mek	I'm pregnant
Ka râi mêk	I'm pregnant
Ka inpeih.	I'm ready.
Ka rintlak	I'm reliable
Ka rintlâk	I'm reliable
Ka kap mek	I'm shooting
Ka kâp mêk	I'm shooting
Ka a lutuk	I'm so mad
Ka khauh a	I'm strict
Ka chiang.	I'm sure.
Ka felfai.	I'm tidy.
Ka ngamlo.	I'm timid.
Tom ka nia	I'm Tom
Ka dik hle	I'm truthful
Ka tum mek	I'm trying
Ka hlau lo	I'm unafraid
Ui nge ui?	Is it a cat or a dog?
A lian em?	Is it big?
A hnai em?	Is it nearby?
A thar em?	Is it new?
A nalh em?	Is this nice?
A lum a ni	It is warm
A pawithei	It matters
Vur a tla.	It snowed.
Hun a duh.	It took time.
A chiang e	It was clear
A sa lutuk	It was hot
A tê a nia	It was small
Thing a ni	It's a plant
A zahthlak	It's a shame
A zahthlâk	It's a shame
Inah a awm	It's at home
A lian hle	It's bulky
A dai nuam	It's cool
Chaw a nia	It's food
A bo a nia	It's missing
A chiangsa	It's obvious
A inhawng.	It's open.
A hlauhawm	It's scary
A tle thei	It's shiny
A to lutuk	It's too costly, It's too high
A sa lutuk	It's too hot
A sa lûtuk	It's too hot
A mak a ni	It's weird
Ka ti tawh	I've done it
Ka ei tawh	I've eaten
Ka chaklo.	I've lost.
Timai rawh	Just do it
Timai rawh	Just do it
Tawng suh!	Keep quiet!
Kan lo kal	Let us go
Kan lo lut	Let us in
Kan lo lut	Let us in
Bei ang le	Let's attack
Infawp ila	Let's kiss
Kal lovang	Let's not go
Infiam ila	Let's play
Bansan ang	Let's quit
Ennawn ang	Let's review
Ennâwn ang	Let's review
Hla sa ang	Let's sing
Thlang ang	Let's vote
Tieng rawh	Lighten up
Mi en rawh	Look at me
Mama a tap	Mama cried
Mama cried	Mama a tap
Ka ke a na	My feet hurt
lâwm takin	open arms
Hawng rawh	Open up
Chhar rawh	Pick it up
Kaihza tha	Popliteal fossa
Pawt rawh.	Pull it.
Aah tirawh	Say aah
A nih leh.	See you.
Hliah rawh	Shadow him
Lam ang aw	Shall we dance
Min bum a.	She cheated on me.
A ei a ni.	She's eating him.
Sawi rawh!	Speak up!
Sawi rawh!	Speak up!
Ding rawh!	Stand up!
Ding rawh!	Stand up!
Chawl rawh	Take a break
Châwl rawh	Take a break
Muhil rawh	Take a nap
Insum rawh	Take it easy
Ka lawm e.	Thank you
A ṭhat chu	That's good
Toma a nia	That's Tom
Ni a êng a	The sun is shining
Unau an ni	They are siblings
An inbia a	They are talking with each other
An â ve lo	They aren't stupid
An lei lo.	They didn't buy it.
An sawm lo	They didn't invite her
An nei lo.	They don't own them.
Min ṭanpui	They help us
An in en a	They looked at each other
Min mamawh	They need me
Tom an hmu	They saw Tom
An hmu che	They saw you
An innei a	They were married
An muhil a	They were sleeping
An inhmu a	They whispered to each other
An hlim lo	They're blue
An nel awm	They're cool
An duh awm	They're cute
An zo tawh	They're done
An bo a ni	They're lost
An hlau lo	They're not afraid
An â lo va	They're not stupid
An â lûtuk	They're so stupid
Thil a keh	Things break
Toman a ko	Tom called
Toma a lam	Tom danced
Tom'n a zo	Tom finished
Tom a harh	Tom is awake
Tom a lian	Tom is big
Tom a thar	Tom is new
Toma a upa	Tom is old
Toma a huh	Tom is wet
Toman a en	Tom looked
Tom a khur	Tom shivered
Toma a nui	Tom smiled
Tom a cham	Tom stayed
Toma a thi	Tom's dead
Tom a chak	Tom's fast
Tom a thau	Tom's fat
Tom a hman	Tom's free
Tom a lawm	Tom's glad
Toma a tha	Tom's well
A al lutuk	Too salty
Vei lamah.	Turn left.
Phelh rawh	Unlock it
Mi en rawh	Watch me
Mi en rawh	Watch me
Kan pawm e	We agree
Kan pawm e	We agreed
Kan pawm e	We agreed
Kan OK Go.	We are OK Go.
Kan tithei	We did it
Ṭha kan ti	We felt good
Kan vannei	We got lucky
Kan hman e	We got ready
Zu kan nei	We have wine
Kan tibo e	We lost it
Kan siam e	We made it
Kan siam e	We made it
Kan hmu e.	We saw it.
Kan nuih a	We smiled
Kan nuih a	We smiled
Sa kan duh	We want meat
Sâ kan duh	We want meat
PBS kan en	We watch PBS
Ka bei ang	We'll attack
Kan sa ang	We'll sing
Mak kan ti	We're amused
Kan inkhar	We're closed
Kan puar e	We're full
Kan rinawm	We're honest
Kan rilṭam	We're hungry
Kan nui lo	We're not smiling
Kan rethei	We're poor
Kan zak a.	We're shy.
Kan felfai	We're tidy
Kan chaklo	We're weak
I in em ni	Were you drinking
Kan hria e	We've got it
An va â em	What fools they are
Tunge thi?	Who died?
Tunge tlu?	Who fell?
Tunge nei?	Who has it?
Tunge duh?	Who wants it?
Tunge hman	Who's free
Uai En teh	Wow Look at you
Awle ka pi	Yes, madam
Aw, thei e	Yes, you may
I ṭha a ni	You are good
I â lutuk.	You are so stupid.
I hmelchia	You are ugly
I hmêlchia	You are ugly
I hliam lo	You aren't bruised
Tom i hneh	You beat Tom
I kal thei	You can go
I ngai lo.	You don't think so.
I kal thei	You may go
Mi ba a ni	You owe me
I bum a ni	You were cheating
I vawt ang	You will catch cold
I thi dawn	You will die
I hmu ang.	You will see.
I thik ang	You'll be jealous
I ṭha dawn	You'll be OK
I ti dawn.	You'll do it.
I ti dawn.	You'll do it.
